"Vissoorten, schaal- en schelpdieren";"Perioden";"Aangevoerde hoeveelheid (1 000 kg)"
"Europese kreeft";"2006";24
"Europese kreeft";"2007";24
"Europese kreeft";"2008";27
"Europese kreeft";"2009";29
"Europese kreeft";"2010";26
"Europese kreeft";"2011";27
"Europese kreeft";"2012";40
"Europese kreeft";"2013";47
"Europese kreeft";"2014 ";81
"Europese kreeft";"2015 ";82
"Europese kreeft";"2016";64
"Europese kreeft";"2017";80
"Europese kreeft";"2018";49
"Europese kreeft";"2019";42
"Europese kreeft";"2020";38
"Europese kreeft";"2021 ";34
"Griet";"2006";1250
"Griet";"2007";1460
"Griet";"2008";1140
"Griet";"2009";1333
"Griet";"2010";1285
"Griet";"2011";1118
"Griet";"2012";1083
"Griet";"2013";920
"Griet";"2014 ";780
"Griet";"2015 ";1308
"Griet";"2016";945
"Griet";"2017";930
"Griet";"2018";794
"Griet";"2019";888
"Griet";"2020";777
"Griet";"2021 ";581
"Noordzee garnalen";"2006";9829
"Noordzee garnalen";"2007";8712
"Noordzee garnalen";"2008";10873
"Noordzee garnalen";"2009";15132
"Noordzee garnalen";"2010";14044
"Noordzee garnalen";"2011";13296
"Noordzee garnalen";"2012";11906
"Noordzee garnalen";"2013";15475
"Noordzee garnalen";"2014 ";19060
"Noordzee garnalen";"2015 ";16672
"Noordzee garnalen";"2016";16158
"Noordzee garnalen";"2017";11855
"Noordzee garnalen";"2018";24001
"Noordzee garnalen";"2019";14016
"Noordzee garnalen";"2020";15682
"Noordzee garnalen";"2021 ";14263
"Noordzeekrab";"2006";1891
"Noordzeekrab";"2007";2829
"Noordzeekrab";"2008";2713
"Noordzeekrab";"2009";2238
"Noordzeekrab";"2010";1813
"Noordzeekrab";"2011";2194
"Noordzeekrab";"2012";976
"Noordzeekrab";"2013";711
"Noordzeekrab";"2014 ";1314
"Noordzeekrab";"2015 ";2716
"Noordzeekrab";"2016";522
"Noordzeekrab";"2017";1271
"Noordzeekrab";"2018";2521
"Noordzeekrab";"2019";540
"Noordzeekrab";"2020";421
"Noordzeekrab";"2021 ";2310
"Langoustine (Noorse kreeft)";"2006";2337
"Langoustine (Noorse kreeft)";"2007";2949
"Langoustine (Noorse kreeft)";"2008";1803
"Langoustine (Noorse kreeft)";"2009";2235
"Langoustine (Noorse kreeft)";"2010";1342
"Langoustine (Noorse kreeft)";"2011";1732
"Langoustine (Noorse kreeft)";"2012";1532
"Langoustine (Noorse kreeft)";"2013";951
"Langoustine (Noorse kreeft)";"2014 ";994
"Langoustine (Noorse kreeft)";"2015 ";1476
"Langoustine (Noorse kreeft)";"2016";1658
"Langoustine (Noorse kreeft)";"2017";1971
"Langoustine (Noorse kreeft)";"2018";1132
"Langoustine (Noorse kreeft)";"2019";1318
"Langoustine (Noorse kreeft)";"2020";847
"Langoustine (Noorse kreeft)";"2021 ";1540
"Mossel";"2006";29807
"Mossel";"2007";41209
"Mossel";"2008";36181
"Mossel";"2009";45520
"Mossel";"2010";56092
"Mossel";"2011";36425
"Mossel";"2012";39704
"Mossel";"2013";37112
"Mossel";"2014 ";53783
"Mossel";"2015 ";54210
