"Perioden";"Melkaanvoer/Hoeveelheid (1 000 kg)";"Melkaanvoer/Vetgehalte (%)";"Melkaanvoer/Eiwitgehalte (%)";"Zuivelproductie/Boter (1 000 kg)";"Zuivelproductie/Fabriekskaas (1 000 kg)";"Zuivelproductie/Melkpoeder/Melkpoeder, totaal (1 000 kg)";"Zuivelproductie/Gecondenseerde melk (1 000 kg)"
"2006";10656600;4,39;3,48;125100;714000;154500;308900
"2007";10737140;4,41;3,48;129200;730333;152707;326739
"2008";11294572;4,37;3,5;124312;721699;182173;341898
"2009";11468581;4,36;3,47;117180;712094;204142;319764
"2010";11626123;4,42;3,52;133419;752638;199087;347285
"2011";11641718;4,4;3,51;128988;749679;193176;354421
"2012";11675448;4,4;3,53;133286;764161;186968;371273
"2013";12212690;4,4;3,53;133455;793516;193653;360352
"2014";12473023;4,34;3,51;140524;771941;204761;382192
"2015";13330873;4,38;3,53;147577;844974;204231;407775
"2016";14324438;4,4;3,54;161311;887812;235863;372221
"2017";14295931;4,37;3,56;149015;874238;249887;366985
"2018";13880920;4,37;3,56;153674;878908;226382;343298
"2019";13802159;4,41;3,58;136524;920809;243958;390833
"2020";13986695;4,42;3,58;133605;972734;248115;393852
