"Perioden";"Melkaanvoer/Hoeveelheid (1 000 kg)"
"2016 januari";1214745
"2016 februari";1161335
"2016 maart";1239907
"2016 april";1218592
"2016 mei";1263123
"2016 juni";1199718
"2016 juli";1218901
"2016 augustus";1202383
"2016 september";1133945
"2016 oktober";1154341
"2016 november";1112734
"2016 december";1204713
"2017 januari";1227142
"2017 februari";1120509
"2017 maart";1248567
"2017 april";1213514
"2017 mei";1255665
"2017 juni";1194276
"2017 juli";1193233
"2017 augustus";1182404
"2017 september";1140773
"2017 oktober";1172601
"2017 november";1144448
"2017 december";1202801
"2018 januari";1229448
"2018 februari";1107347
"2018 maart";1216670
"2018 april";1192997
"2018 mei";1237622
"2018 juni";1176346
"2018 juli";1179544
"2018 augustus";1147894
"2018 september";1089150
"2018 oktober";1108842
"2018 november";1066585
"2018 december";1128475
"2019 januari";1167785
"2019 februari";1087913
"2019 maart";1188606
"2019 april";1174334
"2019 mei";1208136
"2019 juni";1145233
"2019 juli";1162617
"2019 augustus";1158400
"2019 september";1108225
"2019 oktober";1132130
"2019 november";1097848
"2019 december";1170932
"2020 januari";1207260
"2020 februari";1144895
"2020 maart";1225391
"2020 april";1194694
"2020 mei";1215935
"2020 juni";1157087
"2020 juli";1177026
"2020 augustus";1142547
"2020 september";1112529
"2020 oktober";1136326
"2020 november";1104019
"2020 december";1168987
